Beta,Accuracy,F1,Precision,Recall
1,0.9,0.7188,0.6765,0.7667
1.5,0.8944,0.7077,0.6571,0.7667
2,0.8944,0.7077,0.6571,0.7667
2.5,0.8667,0.625,0.5882,0.6667
3,0.8556,0.5938,0.5588,0.6333
3.5,0.8944,0.5778,0.8667,0.4333
4,0.8944,0.5778,0.8667,0.4333
4.5,0.8944,0.5778,0.8667,0.4333
5,0.8944,0.5778,0.8667,0.4333
5.5,0.8889,0.5652,0.8125,0.4333
6,0.8889,0.5652,0.8125,0.4333
6.5,0.8944,0.5778,0.8667,0.4333
7,0.8944,0.5778,0.8667,0.4333
7.5,0.8944,0.5778,0.8667,0.4333
8,0.8944,0.5778,0.8667,0.4333
8.5,0.8889,0.5652,0.8125,0.4333
9,0.8944,0.5778,0.8667,0.4333
9.5,0.8944,0.5778,0.8667,0.4333
10,0.8944,0.5778,0.8667,0.4333
